id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
101,Austria 1GB,0,Europe,2,1,7,esim_1GB_7D_AT_V2,5.00,2.50,1.36,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:36,\N,3,0,
102,Belarus 1GB,0,Europe,2,1,7,norach-telecom-7days-1gb,9.50,9.00,6.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:37,\N,1,0,
103,Jordan 1GB,0,Middle East,2,1,7,esim_1GB_7D_JO_V2,7.50,6.00,4.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:47,\N,3,0,
104,Bulgaria 1GB,0,Europe,2,1,7,esim_1GB_7D_BG_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:38,\N,3,0,
105,Uruguay 1GB,0,LATAM,2,1,7,esim_1GB_7D_UY_V2,10.00,7.50,5.17,0,0,0,2023-06-24 13:26:02,2024-04-09 16:50:00,\N,3,0,
106,Venezuela 1GB,0,LATAM,2,1,7,aragua-mobile-7days-1gb,9.50,8.00,5.70,0,0,0,2023-06-24 13:26:02,2024-04-09 16:50:01,\N,1,0,
107,Cyprus 1GB,0,Europe,2,1,7,esim_1GB_7D_CY_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:40,\N,3,0,
108,Saudi Arabia 1GB,0,Middle East,2,1,7,red-sand-7days-1gb,5.00,3.60,2.20,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:56,\N,1,0,
109,Denmark 1GB,0,Europe,2,1,7,esim_1GB_7D_DK_V2,5.00,2.50,1.36,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:41,\N,3,0,
110,Estonia 1GB,0,Europe,2,1,7,esim_1GB_7D_EE_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:42,\N,3,0,
111,Finland 1GB,0,Europe,2,1,7,esim_1GB_7D_FI_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:42,\N,3,0,
