id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries,recharge
874,Andorra UNL 15D,0,Europe,2,Unlimited,15,esim_UL_15D_AD_V2,223,178,118.45,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
875,Andorra UNL 1D,0,Europe,2,Unlimited,1,esim_UL_1D_AD_V2,15,12,8.34,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
876,Andorra UNL 3D,0,Europe,2,Unlimited,3,esim_UL_3D_AD_V2,45,36,24.07,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
877,Andorra UNL 5D,0,Europe,2,Unlimited,5,esim_UL_5D_AD_V2,75,60,39.8,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
878,Andorra UNL 7D,0,Europe,2,Unlimited,7,esim_UL_7D_AD_V2,100,85,55.53,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
137,Anguilla 1GB,0,Caribbean,2,1,7,dolphin-mobile-7days-1gb,9.5,9,8.1,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
879,Anguilla 2GB,0,Caribbean,2,2,15,esim_2GB_15D_AI_V2,55,50,40.51,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
880,Anguilla UNL 1D,0,Caribbean,2,Unlimited,1,esim_UL_1D_AI_V2,55,44,29.07,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
881,Anguilla UNL 3D,0,Caribbean,2,Unlimited,3,esim_UL_3D_AI_V2,161,129,86.27,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
72,Antigua & Barbuda 1GB,0,Caribbean,2,1,7,17-miles-7days-1gb,9.5,9,8.1,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
882,Antigua And Barbuda 2GB,0,Caribbean,2,2,15,esim_2GB_15D_AG_V2,55,50,40.51,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
883,Antigua And Barbuda UNL 1D,0,Caribbean,2,Unlimited,1,esim_UL_1D_AG_V2,50,40,29.07,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
884,Antigua And Barbuda UNL 3D,0,Caribbean,2,Unlimited,3,esim_UL_3D_AG_V2,150,120,86.27,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
389,Argentina 10GB,0,LATAM,2,10,30,esim_10GB_30D_AR_V2,55,50,21.58,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
113,Argentina 1GB,0,LATAM,2,1,7,esim_1GB_7D_AR_V2,7.5,6,2.9,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
623,Argentina 20GB,0,LATAM,2,20,30,esim_20GB_30D_AR_V2,65,50,38.54,0,0,0,2023-09-04 17:34:58,2024-04-09 16:49:35,\N,3,,0
885,Argentina 2GB,0,LATAM,2,2,15,esim_2GB_15D_AR_V2,15,10,5.32,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
147,Argentina 3GB,0,LATAM,2,3,30,esim_3GB_30D_AR_V2,21.5,18,7.33,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
886,Argentina 50GB,0,LATAM,2,50,30,esim_50GB_30D_AR_V2,120,100,86.99,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
283,Argentina 5GB,0,LATAM,2,5,30,esim_5GB_30D_AR_V2,35,30,11.89,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
887,Argentina UNL 10D,0,LATAM,2,Unlimited,10,esim_UL_10D_AR_V2,75,50,35.08,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
888,Argentina UNL 15D,0,LATAM,2,Unlimited,15,esim_UL_15D_AR_V2,99,79,52.38,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
889,Argentina UNL 1D,0,LATAM,2,Unlimited,1,esim_UL_1D_AR_V2,9,6,3.94,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
890,Argentina UNL 30D,0,LATAM,2,Unlimited,30,esim_UL_30D_AR_V2,195,156,104.29,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
891,Argentina UNL 3D,0,LATAM,2,Unlimited,3,esim_UL_3D_AR_V2,20,16,10.86,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
892,Argentina UNL 5D,0,LATAM,2,Unlimited,5,esim_UL_5D_AR_V2,35,27,17.78,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
893,Argentina UNL 7D,0,LATAM,2,Unlimited,7,esim_UL_7D_AR_V2,45,37,24.7,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
393,Armenia 10GB,0,Eastern Europe,2,10,30,esim_10GB_30D_AM_V2,55,50,35.37,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
98,Armenia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_AM_V2,9.5,7.5,4.48,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
492,Armenia 20GB,0,Eastern Europe,2,20,30,esim_20GB_30D_AM_V2,99,85,63.39,0,0,0,2023-06-24 13:26:03,2024-04-09 16:49:35,\N,3,,0
894,Armenia 2GB,0,Eastern Europe,2,2,15,esim_2GB_15D_AM_V2,12.5,10,8.48,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
148,Armenia 3GB,0,Eastern Europe,2,3,30,esim_3GB_30D_AM_V2,25,17.5,11.8,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
267,Armenia 5GB,0,Eastern Europe,2,5,30,esim_5GB_30D_AM_V2,35,28,19.35,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,,0
895,Armenia UNL 10D,0,Eastern Europe,2,Unlimited,10,esim_UL_10D_AM_V2,109,87,57.67,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
896,Armenia UNL 15D,0,Eastern Europe,2,Unlimited,15,esim_UL_15D_AM_V2,161,129,86.27,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
897,Armenia UNL 1D,0,Eastern Europe,2,Unlimited,1,esim_UL_1D_AM_V2,11,9,6.19,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
898,Armenia UNL 3D,0,Eastern Europe,2,Unlimited,3,esim_UL_3D_AM_V2,30,26,17.63,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
899,Armenia UNL 5D,0,Eastern Europe,2,Unlimited,5,esim_UL_5D_AM_V2,50,44,29.07,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
